LINIENNR_EFA;VERKEHRSMITTEL
744;RegionalBus
771;RegionalBus
772;RegionalBus
782;RegionalBus
785;RegionalBus
786;RegionalBus
791;RegionalBus
803;RegionalBus
804;RegionalBus
805;RegionalBus
807;RegionalBus
810;RegionalBus
820;RegionalBus
822;RegionalBus
823;RegionalBus
825;RegionalBus
826;RegionalBus
828;RegionalBus
829;RegionalBus
830;RegionalBus
832;RegionalBus
833;RegionalBus
838;RegionalBus
839;RegionalBus
843;RegionalBus
852;RegionalBus
853;RegionalBus
860;RegionalBus
861;RegionalBus
862;RegionalBus
863;RegionalBus
870;RegionalBus
871;RegionalBus
872;RegionalBus
873;RegionalBus
874;RegionalBus
875;RegionalBus
885;RegionalBus
889;RegionalBus
904;RegionalBus
906;RegionalBus
909;RegionalBus
921;RegionalBus
921V;RegionalBus
923;RegionalBus
924;RegionalBus
928;RegionalBus
928V;RegionalBus
936;RegionalBus
9410;RegionalBus
9411;RegionalBus
9413;RegionalBus
9441;RegionalBus
947;RegionalBus
9480;RegionalBus
949;RegionalBus
950;RegionalBus
9505;RegionalBus
950V;RegionalBus
951;RegionalBus
9520;RegionalBus
955;RegionalBus
956;RegionalBus
958;RegionalBus
9608;RegionalBus
961;RegionalBus
9611;RegionalBus
9613;RegionalBus
963;RegionalBus
965;RegionalBus
966;RegionalBus
967;RegionalBus
968;RegionalBus
969;RegionalBus
974;RegionalBus
975;RegionalBus
976;RegionalBus
977;RegionalBus
978;RegionalBus
978V;RegionalBus
979;RegionalBus
RB 13;Regionalzug
RB 14;Regionalzug
RB 16;Regionalzug
RB 32;Regionalzug
RB 33;Regionalzug
RB 40;Regionalzug
RB 41;Regionalzug
RB 42;Regionalzug
RB 44;Regionalzug
RB 45;Regionalzug
RB 46;Regionalzug
RB 47;Regionalzug
RB 48;Regionalzug
RB 49;Regionalzug
RB 52;Regionalzug
RB 53;Regionalzug
RB 54;Regionalzug
RB 55;Regionalzug
RB 56;Regionalzug
RB 57;Regionalzug
RB 58;Regionalzug
RB 59;Regionalzug
RB 6;Regionalzug
RB 60;Regionalzug
RB 63;Regionalzug
RB 65;Regionalzug
RB 66;Regionalzug
RB 67;Regionalzug
RB 68;Regionalzug
RB 69;Regionalzug
RB 73;Regionalzug
RB 77;Regionalzug
RB 78;Regionalzug
RB 83;Regionalzug
RB 86;Regionalzug
RB 87;Regionalzug
RB 92;Regionalzug
RB 94;Regionalzug
RE 1;Regionalzug
RE 17;Regionalzug
RE 2;Regionalzug
RE 22;Regionalzug
RE 23;Regionalzug
RE 25;Regionalzug
RE 3;Regionalzug
RE 4;Regionalzug
RE 5;Regionalzug
RE 50;Regionalzug
RE 61;Regionalzug
RE 62;Regionalzug
RE 7;Regionalzug
RE 70;Regionalzug
RE 71;Regionalzug
RE 72;Regionalzug
RE 74;Regionalzug
RE 75;Regionalzug
RE 76;Regionalzug
RE 79;Regionalzug
RE 80;Regionalzug
RE 89;Regionalzug
RE 9;Regionalzug
RE 96;Regionalzug
4000;RufTaxi
4800;RufTaxi
4900;RufTaxi
5010;RufTaxi
5020;RufTaxi
5050;RufTaxi
5403;RufTaxi
5621;RufTaxi
5670;RufTaxi
5680;RufTaxi
6001;RufTaxi
6002;RufTaxi
6003;RufTaxi
6004;RufTaxi
7000;RufTaxi
7010;RufTaxi
7020;RufTaxi
7030;RufTaxi
7040;RufTaxi
7050;RufTaxi
7060;RufTaxi
7070;RufTaxi
7080;RufTaxi
7090;RufTaxi
7100;RufTaxi
8000;RufTaxi
8200;RufTaxi
8300;RufTaxi
8400;RufTaxi
8500;RufTaxi
8700;RufTaxi
8800;RufTaxi
S1;S-Bahn
S2;S-Bahn
S20;S-Bahn
S3;S-Bahn
S4;S-Bahn
S6;S-Bahn
S7;S-Bahn
S8;S-Bahn
100;StadtBus
130;StadtBus
132;StadtBus
134;StadtBus
135;StadtBus
136;StadtBus
139;StadtBus
140;StadtBus
141;StadtBus
142;StadtBus
143;StadtBus
144;StadtBus
145;StadtBus
149;StadtBus
150;StadtBus
151;StadtBus
153;StadtBus
154;StadtBus
155;StadtBus
157;StadtBus
158;StadtBus
159;StadtBus
160;StadtBus
161;StadtBus
162;StadtBus
163;StadtBus
164;StadtBus
165;StadtBus
166;StadtBus
167;StadtBus
168;StadtBus
169;StadtBus
170;StadtBus
171;StadtBus
172;StadtBus
173;StadtBus
174;StadtBus
175;StadtBus
176;StadtBus
177;StadtBus
178;StadtBus
179;StadtBus
180;StadtBus
181;StadtBus
183;StadtBus
184;StadtBus
185;StadtBus
186;StadtBus
187;StadtBus
188;StadtBus
189;StadtBus
190;StadtBus
191;StadtBus
192;StadtBus
193;StadtBus
194;StadtBus
195;StadtBus
196;StadtBus
197;StadtBus
198;StadtBus
199;StadtBus
290;StadtBus
290V;StadtBus
301;StadtBus
302;StadtBus
310;StadtBus
311;StadtBus
312;StadtBus
331;StadtBus
332;StadtBus
333;StadtBus
334;StadtBus
335;StadtBus
341;StadtBus
401;StadtBus
402;StadtBus
403;StadtBus
404;StadtBus
405;StadtBus
406;StadtBus
407;StadtBus
408;StadtBus
409;StadtBus
410;StadtBus
411;StadtBus
412;StadtBus
413;StadtBus
414;StadtBus
420;StadtBus
421;StadtBus
422;StadtBus
423;StadtBus
424;StadtBus
426;StadtBus
429;StadtBus
431;StadtBus
815;StadtBus
831;StadtBus
835;StadtBus
840;StadtBus
851;StadtBus
854;StadtBus
855;StadtBus
857;StadtBus
858;StadtBus
859;StadtBus
901;StadtBus
902;StadtBus
903;StadtBus
E7;Tram
12;Tram
16;Tram
17;Tram
18;Tram
19;Tram
20;Tram
21;Tram
23;Tram
25;Tram
27;Tram
28;Tram
29;Tram
31;Tram
37;Tram
38;Tram
39;Tram
U1;U-Bahn
U2;U-Bahn
U3;U-Bahn
U4;U-Bahn
U5;U-Bahn
U6;U-Bahn
U7;U-Bahn
U8;U-Bahn
